사업명,기준년월,시도,수급권자수,수급가구수
기초생활보장(맞춤형급여) - 중복제거,2022-05,인천광역시,162540,114812
기초생활보장(맞춤형급여) - 중복제거,2022-05,광주광역시,93163,63166
기초생활보장(맞춤형급여) - 중복제거,2022-05,대전광역시,73866,52977
기초생활보장(맞춤형급여) - 중복제거,2022-05,울산광역시,40282,29563
기초생활보장(맞춤형급여) - 중복제거,2022-05,세종특별자치시,8059,5471
기초생활보장(맞춤형급여) - 중복제거,2022-05,경기도,433355,315908
기초생활보장(맞춤형급여) - 중복제거,2022-05,강원도,84918,64652
기초생활보장(맞춤형급여) - 중복제거,2022-05,충청북도,77808,58302
기초생활보장(맞춤형급여) - 중복제거,2022-05,충청남도,86929,66118
기초생활보장(맞춤형급여) - 중복제거,2022-05,전라북도,127411,91127
기초생활보장(맞춤형급여) - 중복제거,2022-05,전라남도,103295,78452
기초생활보장(맞춤형급여) - 중복제거,2022-05,경상북도,144469,110551
기초생활보장(맞춤형급여) - 중복제거,2022-05,경상남도,163129,120856
기초생활보장(맞춤형급여) - 중복제거,2022-05,제주특별자치도,33213,23217
기초생활보장(맞춤형급여) - 중복제거,2022-06,서울특별시,408096,306767
기초생활보장(맞춤형급여) - 중복제거,2022-06,부산광역시,222612,166950
기초생활보장(맞춤형급여) - 중복제거,2022-06,대구광역시,145975,107248
기초생활보장(맞춤형급여) - 중복제거,2022-06,인천광역시,162898,115287
기초생활보장(맞춤형급여) - 중복제거,2022-06,광주광역시,93010,63227
기초생활보장(맞춤형급여) - 중복제거,2022-06,대전광역시,74030,53228
기초생활보장(맞춤형급여) - 중복제거,2022-06,울산광역시,40345,29671
기초생활보장(맞춤형급여) - 중복제거,2022-06,세종특별자치시,8062,5496
기초생활보장(맞춤형급여) - 중복제거,2022-06,경기도,433875,316880
기초생활보장(맞춤형급여) - 중복제거,2022-06,강원도,84827,64728
기초생활보장(맞춤형급여) - 중복제거,2022-06,충청북도,77750,58345
기초생활보장(맞춤형급여) - 중복제거,2022-06,충청남도,87093,66339
기초생활보장(맞춤형급여) - 중복제거,2022-06,전라북도,127254,91294
기초생활보장(맞춤형급여) - 중복제거,2022-06,전라남도,103214,78513
기초생활보장(맞춤형급여) - 중복제거,2022-06,경상북도,144558,110762
기초생활보장(맞춤형급여) - 중복제거,2022-06,경상남도,163483,121325
기초생활보장(맞춤형급여) - 중복제거,2022-06,제주특별자치도,33290,23315
기초생활보장(맞춤형급여) - 중복제거,2022-07,서울특별시,409487,308116
기초생활보장(맞춤형급여) - 중복제거,2022-07,부산광역시,223312,167712
기초생활보장(맞춤형급여) - 중복제거,2022-07,대구광역시,146286,107616
기초생활보장(맞춤형급여) - 중복제거,2022-07,인천광역시,163782,115999
기초생활보장(맞춤형급여) - 중복제거,2022-07,광주광역시,93153,63392
기초생활보장(맞춤형급여) - 중복제거,2022-07,대전광역시,74475,53587
기초생활보장(맞춤형급여) - 중복제거,2022-07,울산광역시,40552,29849
기초생활보장(맞춤형급여) - 중복제거,2022-07,세종특별자치시,8089,5528
기초생활보장(맞춤형급여) - 중복제거,2022-07,경기도,435992,318912
기초생활보장(맞춤형급여) - 중복제거,2022-07,강원도,84947,64891
기초생활보장(맞춤형급여) - 중복제거,2022-07,충청북도,77862,58502
기초생활보장(맞춤형급여) - 중복제거,2022-07,충청남도,87377,66647
기초생활보장(맞춤형급여) - 중복제거,2022-07,전라북도,127477,91497
기초생활보장(맞춤형급여) - 중복제거,2022-07,전라남도,103396,78686
기초생활보장(맞춤형급여) - 중복제거,2022-07,경상북도,145065,111257
기초생활보장(맞춤형급여) - 중복제거,2022-07,경상남도,164399,122027
기초생활보장(맞춤형급여) - 중복제거,2022-07,제주특별자치도,33378,23387
기초생활보장(맞춤형급여) - 중복제거,2022-08,서울특별시,410096,308946
기초생활보장(맞춤형급여) - 중복제거,2022-08,부산광역시,224529,168780
기초생활보장(맞춤형급여) - 중복제거,2022-08,대구광역시,146931,108138
기초생활보장(맞춤형급여) - 중복제거,2022-08,인천광역시,164293,116523
기초생활보장(맞춤형급여) - 중복제거,2022-08,광주광역시,93666,63769
기초생활보장(맞춤형급여) - 중복제거,2022-08,대전광역시,74647,53794
기초생활보장(맞춤형급여) - 중복제거,2022-08,울산광역시,40882,30112
기초생활보장(맞춤형급여) - 중복제거,2022-08,세종특별자치시,8094,5553
기초생활보장(맞춤형급여) - 중복제거,2022-08,경기도,438151,320932
기초생활보장(맞춤형급여) - 중복제거,2022-08,강원도,85332,65285
기초생활보장(맞춤형급여) - 중복제거,2022-08,충청북도,78222,58810
기초생활보장(맞춤형급여) - 중복제거,2022-08,충청남도,87845,67066
기초생활보장(맞춤형급여) - 중복제거,2022-08,전라북도,127917,91845
기초생활보장(맞춤형급여) - 중복제거,2022-08,전라남도,103622,78991
기초생활보장(맞춤형급여) - 중복제거,2022-08,경상북도,146046,112112
기초생활보장(맞춤형급여) - 중복제거,2022-08,경상남도,165863,123188
기초생활보장(맞춤형급여) - 중복제거,2022-08,제주특별자치도,33514,23493
기초생활보장(맞춤형급여) - 중복제거,2022-09,서울특별시,408657,303947
기초생활보장(맞춤형급여) - 중복제거,2022-09,부산광역시,223847,165699
기초생활보장(맞춤형급여) - 중복제거,2022-09,대구광역시,146408,106141
기초생활보장(맞춤형급여) - 중복제거,2022-09,인천광역시,163782,114230
기초생활보장(맞춤형급여) - 중복제거,2022-09,광주광역시,93316,62620
기초생활보장(맞춤형급여) - 중복제거,2022-09,대전광역시,74370,52820
기초생활보장(맞춤형급여) - 중복제거,2022-09,울산광역시,40853,29894
기초생활보장(맞춤형급여) - 중복제거,2022-09,세종특별자치시,8056,5448
기초생활보장(맞춤형급여) - 중복제거,2022-09,경기도,437975,316498
기초생활보장(맞춤형급여) - 중복제거,2022-09,강원도,85051,63977
기초생활보장(맞춤형급여) - 중복제거,2022-09,충청북도,78025,57822
기초생활보장(맞춤형급여) - 중복제거,2022-09,충청남도,87647,65799
기초생활보장(맞춤형급여) - 중복제거,2022-09,전라북도,127696,90018
기초생활보장(맞춤형급여) - 중복제거,2022-09,전라남도,103262,77231
기초생활보장(맞춤형급여) - 중복제거,2022-09,경상북도,145791,110047
기초생활보장(맞춤형급여) - 중복제거,2022-09,경상남도,165645,121247
기초생활보장(맞춤형급여) - 중복제거,2022-09,제주특별자치도,33312,22772
기초생활보장(맞춤형급여) - 중복제거,2022-10,서울특별시,410703,305517
기초생활보장(맞춤형급여) - 중복제거,2022-10,부산광역시,225313,166829
기초생활보장(맞춤형급여) - 중복제거,2022-10,대구광역시,147201,106742
기초생활보장(맞춤형급여) - 중복제거,2022-10,인천광역시,164606,114831
기초생활보장(맞춤형급여) - 중복제거,2022-10,광주광역시,93726,62918
기초생활보장(맞춤형급여) - 중복제거,2022-10,대전광역시,74672,53033
기초생활보장(맞춤형급여) - 중복제거,2022-10,울산광역시,41144,30127
기초생활보장(맞춤형급여) - 중복제거,2022-10,세종특별자치시,8082,5474
기초생활보장(맞춤형급여) - 중복제거,2022-10,경기도,440215,318269
기초생활보장(맞춤형급여) - 중복제거,2022-10,강원도,85538,64366
기초생활보장(맞춤형급여) - 중복제거,2022-10,충청북도,78461,58138
기초생활보장(맞춤형급여) - 중복제거,2022-10,충청남도,88263,66270
기초생활보장(맞춤형급여) - 중복제거,2022-10,전라북도,128213,90404
기초생활보장(맞춤형급여) - 중복제거,2022-10,전라남도,103690,77583
기초생활보장(맞춤형급여) - 중복제거,2022-10,경상북도,146714,110761
기초생활보장(맞춤형급여) - 중복제거,2022-10,경상남도,166645,121980
기초생활보장(맞춤형급여) - 중복제거,2022-10,제주특별자치도,33439,22878
기초생활보장(맞춤형급여) - 중복제거,2022-11,서울특별시,411804,306865
기초생활보장(맞춤형급여) - 중복제거,2022-11,부산광역시,226504,167871
기초생활보장(맞춤형급여) - 중복제거,2022-11,대구광역시,147792,107296
기초생활보장(맞춤형급여) - 중복제거,2022-11,인천광역시,165440,115592
기초생활보장(맞춤형급여) - 중복제거,2022-11,광주광역시,93984,63204
기초생활보장(맞춤형급여) - 중복제거,2022-11,대전광역시,74900,53261
기초생활보장(맞춤형급여) - 중복제거,2022-11,울산광역시,41334,30303
기초생활보장(맞춤형급여) - 중복제거,2022-11,세종특별자치시,8081,5473
기초생활보장(맞춤형급여) - 중복제거,2022-11,경기도,442524,320255
기초생활보장(맞춤형급여) - 중복제거,2022-11,강원도,85677,64527
기초생활보장(맞춤형급여) - 중복제거,2022-11,충청북도,78620,58314
기초생활보장(맞춤형급여) - 중복제거,2022-11,충청남도,88632,66615
기초생활보장(맞춤형급여) - 중복제거,2022-11,전라북도,128277,90523
기초생활보장(맞춤형급여) - 중복제거,2022-11,전라남도,103881,77830
기초생활보장(맞춤형급여) - 중복제거,2022-11,경상북도,147172,111212
기초생활보장(맞춤형급여) - 중복제거,2022-11,경상남도,167562,122847
기초생활보장(맞춤형급여) - 중복제거,2022-11,제주특별자치도,33486,22942
기초생활보장(맞춤형급여) - 중복제거,2022-12,서울특별시,412409,307838
기초생활보장(맞춤형급여) - 중복제거,2022-12,부산광역시,227066,168535
기초생활보장(맞춤형급여) - 중복제거,2022-12,대구광역시,148146,107720
기초생활보장(맞춤형급여) - 중복제거,2022-12,인천광역시,166083,116169
기초생활보장(맞춤형급여) - 중복제거,2022-12,광주광역시,94137,63392
기초생활보장(맞춤형급여) - 중복제거,2022-12,대전광역시,75140,53483
기초생활보장(맞춤형급여) - 중복제거,2022-12,울산광역시,41510,30476
